timestamp,engineId,missionId,health,degradation,degradationRatePerHour,dominantMechanism,rulHours,rulLowerBoundHours,rulUpperBoundHours,rulConfidence,rulStatus,diagnosticType,affectedSensor
2026-01-01 00:00:01+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.05,INSUFFICIENT_HISTORY,NORMAL,
2026-01-01 00:00:02+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.1,INSUFFICIENT_HISTORY,NORMAL,
2026-01-01 00:00:03+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.15,INSUFFICIENT_HISTORY,NORMAL,
2026-01-01 00:00:04+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.2,INSUFFICIENT_HISTORY,NORMAL,
2026-01-01 00:00:05+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.25,STABLE,NORMAL,
2026-01-01 00:00:06+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.3,STABLE,NORMAL,
2026-01-01 00:00:07+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.35,STABLE,NORMAL,
2026-01-01 00:00:08+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.4,STABLE,NORMAL,
2026-01-01 00:00:09+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.45,STABLE,NORMAL,
2026-01-01 00:00:10+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.5,STABLE,NORMAL,
2026-01-01 00:00:11+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.55,STABLE,NORMAL,
2026-01-01 00:00:12+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.6,STABLE,NORMAL,
2026-01-01 00:00:13+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.65,STABLE,NORMAL,
2026-01-01 00:00:14+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.7,STABLE,NORMAL,
2026-01-01 00:00:15+00:00,ENG-DATASET-000,MSN-LUBRICATION_DEGRADATION-000,100.0,0.0,0.0,HEALTHY,,,,0.75,STABLE,NORMAL,
